year,temperature
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,1.78E-02
1851,3.18E-02
1852,4.32E-02
1853,4.22E-02
1854,2.96E-02
1855,2.48E-02
1856,2.84E-02
1857,2.24E-02
1858,1.79E-02
1859,2.69E-02
1860,4.00E-02
1861,4.85E-02
1862,9.98E-03
1863,-3.58E-02
1864,-3.45E-02
1865,-1.37E-02
1866,8.57E-03
1867,2.74E-02
1868,4.21E-02
1869,5.54E-02
1870,6.70E-02
1871,7.72E-02
1872,8.64E-02
1873,8.11E-02
1874,7.21E-02
1875,7.21E-02
1876,7.32E-02
1877,7.65E-02
1878,8.17E-02
1879,8.64E-02
1880,8.91E-02
1881,9.14E-02
1882,9.67E-02
1883,7.45E-02
1884,-5.06E-02
1885,-1.53E-01
1886,-1.41E-01
1887,-1.01E-01
1888,-6.20E-02
1889,-2.17E-02
1890,5.20E-03
1891,1.23E-02
1892,2.34E-02
1893,5.02E-02
1894,7.81E-02
1895,9.97E-02
1896,1.15E-01
1897,1.25E-01
1898,1.31E-01
1899,1.36E-01
1900,1.38E-01
1901,1.40E-01
1902,1.37E-01
1903,8.57E-02
1904,3.47E-02
