model,scenario,region,variable,unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM 3.0,SSP3 - High Emissions,World,Emissions|BC,Mt BC/yr,7.115433209,7.098355432,7.081177655,7.063999878,7.046822102,7.090644325,7.134366548,7.178088771,7.221910994,7.265633218,7.208855441,7.152077664,7.095299887,7.03842211,6.981644333,6.968766557,6.95588878,6.943011003,6.930133226,6.917155449,6.893777673,6.870299896,6.846922119,6.823444342,6.800066565,6.779588789,6.759111012,6.738633235,6.718155458,6.697677681,6.668599904,6.639622128,6.610544351,6.581566574,6.552588797,6.51051102,6.468533244,6.426555467,6.38457769,6.342499913,6.316422136,6.29024436,6.264066583,6.237888806,6.211711029,6.162633252,6.113655475,6.064577699,6.015599922,5.966522145,5.912844368,5.859166591,5.805388815,5.751711038,5.698033261,5.658855484,5.619677707,5.580499931,5.541322154,5.502144377,5.4478666,5.393588823,5.339211046,5.28493327,5.230555493,5.187077716,5.143599939,5.100022162,5.056544386,5.013066609,4.966288832,4.919511055,4.872633278,4.825855502,4.779077725,4.716199948,4.653422171,4.590544394,4.527666617,4.464788841
AIM 3.0,SSP3 - High Emissions,World,Emissions|C2F6,kt C2F6/yr,2.256398765,2.175017491,2.093985368,2.013417185,1.933083098,1.853098162,1.773462377,1.694175741,1.615238256,1.536649922,1.485290763,1.434155038,1.383242749,1.332553895,1.282088476,1.231846492,1.181827943,1.13203283,1.082461152,1.033112908,1.000864031,0.968647736,0.936574587,0.904754093,0.872966973,0.841322999,0.809822172,0.778572943,0.747358144,0.716286492,0.69590858,0.67562205,0.655426901,0.635216266,0.615204144,0.595283403,0.575454043,0.555610254,0.535963921,0.516408969,0.503456517,0.490562698,0.47772751,0.464950954,0.45223303,0.439677435,0.427076511,0.414534219,0.402050558,0.38962553,0.381354212,0.373120397,0.364924086,0.356765278,0.348643974,0.340560172,0.332513874,0.32450508,0.316533788,0.3086,0.2932,0.2778,0.2624,0.247,0.2316,0.2218,0.212,0.2022,0.1923,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825
AIM 3.0,SSP3 - High Emissions,World,Emissions|C3F8,kt C3F8/yr,0.584146843,0.563078486,0.542100519,0.521242659,0.500445403,0.479738536,0.459122059,0.438595972,0.418160275,0.397814967,0.384518873,0.371280622,0.358100216,0.344977653,0.331912934,0.31890606,0.305957029,0.293065842,0.280232499,0.267457,0.259108263,0.250767961,0.242464717,0.234226882,0.225997687,0.21780555,0.209650471,0.201560528,0.193479498,0.185435526,0.180159999,0.174908129,0.169679917,0.164447695,0.159266865,0.154109693,0.148976177,0.143838926,0.138752794,0.133690318,0.130337128,0.126999117,0.123676285,0.120368632,0.117076157,0.113825707,0.110563522,0.107316516,0.104084689,0.100868041,0.098726724,0.096595117,0.094473218,0.092361029,0.090258548,0.088165777,0.086082714,0.084009361,0.081945716,0.079891781,0.075904958,0.071918136,0.067931313,0.063944491,0.059957668,0.057420599,0.054883531,0.052346462,0.049783504,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436,0.047246436
AIM 3.0,SSP3 - High Emissions,World,Emissions|C4F10,kt C4F10/yr,0.099127312,0.095552099,0.091992224,0.088452731,0.084923522,0.081409653,0.077911121,0.074427929,0.070960075,0.06750756,0.065251268,0.063004792,0.060768131,0.058541286,0.056324257,0.054117044,0.051919647,0.049732066,0.0475543,0.045386351,0.043969604,0.042554289,0.041145263,0.039747337,0.038350876,0.036960704,0.035576821,0.034203991,0.032832673,0.031467645,0.030572409,0.029681189,0.028793983,0.027906096,0.027026931,0.02615178,0.025280643,0.024408873,0.023545777,0.022686696,0.022117674,0.021551227,0.020987356,0.020426061,0.019867341,0.019315753,0.018762174,0.018211171,0.017662743,0.017116891,0.016753518,0.016391793,0.016031716,0.015673286,0.015316504,0.014961369,0.014607882,0.014256042,0.01390585,0.013557306,0.012880759,0.012204211,0.011527664,0.010851117,0.010174569,0.009744039,0.009313509,0.008882979,0.008448056,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525,0.008017525
AIM 3.0,SSP3 - High Emissions,World,Emissions|C5F12,kt C5F12/yr,0.059662352,0.057510516,0.055367913,0.053237577,0.051113431,0.048998517,0.046892835,0.044796385,0.042709167,0.040631182,0.039273173,0.037921073,0.036574881,0.035234596,0.03390022,0.032571751,0.03124919,0.029932538,0.028621793,0.027316956,0.02646425,0.025612406,0.024764347,0.023922969,0.023082473,0.022245761,0.021412835,0.020586562,0.019761199,0.018939621,0.0184008,0.017864396,0.017330408,0.01679601,0.016266861,0.015740129,0.015215813,0.014691115,0.014171639,0.013654578,0.013312097,0.012971167,0.012631786,0.012293956,0.011957676,0.011625689,0.011292503,0.010960867,0.010630781,0.010302246,0.010083541,0.009865827,0.009649105,0.009433375,0.009218636,0.009004889,0.008792134,0.00858037,0.008369598,0.008159817,0.00775262,0.007345422,0.006938224,0.006531027,0.006123829,0.005864703,0.005605578,0.005346452,0.005084682,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556,0.004825556
AIM 3.0,SSP3 - High Emissions,World,Emissions|C6F14,kt C6F14/yr,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597,0.09003597
AIM 3.0,SSP3 - High Emissions,World,Emissions|C7F16,kt C7F16/yr,0.188386377,0.181591867,0.174826508,0.168099883,0.161392803,0.154714873,0.148066094,0.141446465,0.134855987,0.128294659,0.124006691,0.119737378,0.115486719,0.111254714,0.107041364,0.102846669,0.098670628,0.094513242,0.090374511,0.086254434,0.08356198,0.080872247,0.078194464,0.075537776,0.072883875,0.070241924,0.067611925,0.065002932,0.062396813,0.059802646,0.058101297,0.056407578,0.054721488,0.053034106,0.051363297,0.049700117,0.048044567,0.046387812,0.044747543,0.043114903,0.042033505,0.040957002,0.039885394,0.038818682,0.037756864,0.0367086,0.03565655,0.034609396,0.033567138,0.032529774,0.031839203,0.031151763,0.030467454,0.029786277,0.02910823,0.028433315,0.027761531,0.027092878,0.026427356,0.025764965,0.024479222,0.023193478,0.021907735,0.020621991,0.019336247,0.018518047,0.017699847,0.016881646,0.016055097,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896,0.015236896
AIM 3.0,SSP3 - High Emissions,World,Emissions|C8F18,kt C8F18/yr,0.121077361,0.116710478,0.11236233,0.108039077,0.103728385,0.099436429,0.095163208,0.090908722,0.086672971,0.082455956,0.079700046,0.076956126,0.074224195,0.071504253,0.068796301,0.066100339,0.063416365,0.060744382,0.058084387,0.055436382,0.053705922,0.05197721,0.050256179,0.048548705,0.046843022,0.045145021,0.0434547,0.04177788,0.040102908,0.038435617,0.037342147,0.036253581,0.035169918,0.034085424,0.033011583,0.031942644,0.03087861,0.029813801,0.028759587,0.027710277,0.027015254,0.026323378,0.025634647,0.024949063,0.024266625,0.023592897,0.022916737,0.022243723,0.021573855,0.020907134,0.020463299,0.020021476,0.019581665,0.019143867,0.018708082,0.018274308,0.017842548,0.017412799,0.016985063,0.01655934,0.015732982,0.014906625,0.014080268,0.013253911,0.012427554,0.01190169,0.011375826,0.010849963,0.010318733,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869,0.009792869
AIM 3.0,SSP3 - High Emissions,World,Emissions|c-C4F8,kt cC4F8/yr,2.138385452,2.091564478,2.044938629,1.998525016,1.952323636,1.90633449,1.860557578,1.814992901,1.769640457,1.724516961,1.694124751,1.663885052,1.633781152,1.603796511,1.573964251,1.544267789,1.514707126,1.485265898,1.455976875,1.42682365,1.406863528,1.386990349,1.367204112,1.347504817,1.327908522,1.308383069,1.288944558,1.269592989,1.250328363,1.231166517,1.217714173,1.204333265,1.190992247,1.177722577,1.164508505,1.151334456,1.138231623,1.1251689,1.112177306,1.09924131,1.089862119,1.080518564,1.071225912,1.061953582,1.052716888,1.043530966,1.034365498,1.025235665,1.016156473,1.007097866,1.000267899,0.993445821,0.986661426,0.979899796,0.97316093,0.966430129,0.959736836,0.953066307,0.946418543,0.939779018,0.931587256,0.92338097,0.915174684,0.906968398,0.898776637,0.893533328,0.88829002,0.883061236,0.877817927,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619,0.872574619
AIM 3.0,SSP3 - High Emissions,World,Emissions|CF4,kt CF4/yr,14.73336448,14.41100366,14.08998629,13.77043014,13.45233521,13.13570151,12.82052903,12.50681778,12.19456775,11.88389401,11.67464468,11.46644538,11.25918105,11.05273783,10.84734373,10.6428846,10.43936044,10.23665859,10.03500466,9.834285704,9.696860945,9.560034782,9.423807215,9.288178243,9.153258417,9.018826335,8.884992849,8.751757959,8.619121665,8.487193008,8.394574078,8.302446977,8.210594526,8.119233303,8.028254867,7.937551985,7.847339426,7.757403024,7.667956342,7.578892448,7.51431704,7.449986978,7.386007385,7.322167713,7.258573387,7.195328627,7.132224691,7.069366101,7.006856173,6.944487973,6.897463882,6.850494111,6.803783785,6.757230191,6.710833329,6.664491994,6.618408897,6.572482533,6.5267129,6.481,6.4246,6.3681,6.3116,6.2551,6.1987,6.1626,6.1265,6.0905,6.0544,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183,6.0183
