YYYY,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,CFC-13,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH3Br,CH2Cl2,CHCl3,Halon-1211,Halon-1301,Halon-2402,n-C4F10,n-C5F12,n-C6F14,i-C6F14,C7F16,C8F18,CFC-112,CFC-112a,CFC-113a,CFC-114a,HCFC-133a,HCFC-31,HCFC-124
1750,278.3,729.2,270.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,285.5,807.6,272.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1851,285.6,807.8,272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1852,285.8,808.5,272.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1853,285.9,809.8,272.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1854,286,811.1,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1855,286.1,812.7,272.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1856,286.2,814.2,272.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1857,286.3,815.8,272.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1858,286.5,817.7,272.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1859,286.6,819.8,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
1860,286.8,821.7,273.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,457,5.3,6.9,4.8,0,0,0,0,0,0,,0,0,,,,,,,
